"normalized_tag","canonical_tag","facet","recommendation_role","retrieval_utility","recommendation_eligible","safety_status","provider_comic_count","provider_prevalence","source"
"小學女生(js)","小學女生(JS)","AGE_CODED_CHARACTER","SAFETY_EXCLUDE","SAFETY_BLOCKED","False","BLOCK_MINOR_EXPLICIT","34","0.0056666666666666","V3_COMPILED_AUTHORITY"
"c87","C87","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","25","0.0041666666666666","V3_COMPILED_AUTHORITY"
"雌墜","雌墜","FETISH_TROPE","CORE","CONJUNCTION_ANCHOR","True","OK","21","0.0035","V3_COMPILED_AUTHORITY"
"c85","C85","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","18","0.003","V3_COMPILED_AUTHORITY"
"產卵","產卵","PHYSIOLOGY_STATE","CORE","CONJUNCTION_ANCHOR","True","OK","15","0.0025","V3_COMPILED_AUTHORITY"
"格鬥家","格鬥家","IDENTITY_ROLE","CORE","HIGH_PRECISION_ANCHOR","True","OK","15","0.0025","V3_COMPILED_AUTHORITY"
"尿道","尿道","FETISH_TROPE","CORE","CONJUNCTION_ANCHOR","True","OK","15","0.0025","V3_COMPILED_AUTHORITY"
"妖精","妖精","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","15","0.0025","V3_COMPILED_AUTHORITY"
"男高中生(dk)","男高中生(DK)","AGE_CODED_CHARACTER","SAFETY_EXCLUDE","SAFETY_BLOCKED","False","AGE_AMBIGUOUS_REVIEW","14","0.0023333333333333","V3_COMPILED_AUTHORITY"
"兄弟","兄弟","RELATIONSHIP","CORE","HIGH_PRECISION_ANCHOR","True","OK","14","0.0023333333333333","V3_COMPILED_AUTHORITY"
"c83","C83","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","14","0.0023333333333333","V3_COMPILED_AUTHORITY"
"c79","C79","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","12","0.002","V3_COMPILED_AUTHORITY"
"c80","C80","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","12","0.002","V3_COMPILED_AUTHORITY"
