"entity_key","canonical_name","normalized_source_tag","entity_type","parent_entity_key","recommendation_role","retrieval_utility","recommendation_eligible","safety_status","provider_comic_count","provider_prevalence","source"
"fandom_ip::偶像夢幻祭","偶像夢幻祭","偶像夢幻祭","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","21","0.0035","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 靈夢","東方: 靈夢","東方: 靈夢","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","17","0.0028333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 魔理沙","東方: 魔理沙","東方: 魔理沙","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","17","0.0028333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::少女與戰車","少女與戰車","少女與戰車","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","17","0.0028333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 島風","艦隊Collection: 島風","艦娘: 島風","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","16","0.0026666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::絕區零","絕區零","絕區零","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","16","0.0026666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::魔法少女小圓","魔法少女小圓","魔法少女小圓","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","15","0.0025","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::遊戲王","遊戲王","遊戲王","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","15","0.0025","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 八雲紫","東方: 八雲紫","東方: 八雲紫","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","14","0.0023333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::排球少年!!","排球少年!!","排球少年!!","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","14","0.0023333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::銀魂","銀魂","銀魂","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","14","0.0023333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 愛麗絲","東方: 愛麗絲","東方: 愛麗絲","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","13","0.0021666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 鹿島","艦隊Collection: 鹿島","艦娘: 鹿島","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","13","0.0021666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::魔法少女奈葉","魔法少女奈葉","魔法少女奈葉","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","13","0.0021666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::JOJO的奇妙冒險","JOJO的奇妙冒險","jojo的奇妙冒險","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","13","0.0021666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 蕾咪莉亞","東方: 蕾咪莉亞","東方: 蕾咪莉亞","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","12","0.002","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 響","艦隊Collection: 響","艦娘: 響","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","12","0.002","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 浜風","艦隊Collection: 浜風","艦娘: 浜風","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","11","0.0018333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::物語系列","物語系列","物語系列","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","11","0.0018333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::銀魂: 銀時","銀魂: 銀時","銀魂: 銀時","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","11","0.0018333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神:刻晴","原神:刻晴","原神:刻晴","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","11","0.0018333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::對魔忍","對魔忍","對魔忍","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 鈴谷","艦隊Collection: 鈴谷","艦娘: 鈴谷","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::美少女戰士","美少女戰士","美少女戰士","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::魔法禁書目錄","魔法禁書目錄","魔法禁書目錄","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::排球少年!!: 山口忠","排球少年!!: 山口忠","排球少年!!: 山口忠","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::排球少年!!: 月島螢","排球少年!!: 月島螢","排球少年!!: 月島螢","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::為美好的世界獻上祝福！","為美好的世界獻上祝福！","為美好的世界獻上祝福!","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","10","0.0016666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 紅美鈴","東方: 紅美鈴","東方: 紅美鈴","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 帕秋莉","東方: 帕秋莉","東方: 帕秋莉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::藍色監獄","藍色監獄","藍色監獄","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法少女奈葉: 奈葉","魔法少女奈葉: 奈葉","魔法少女奈葉: 奈葉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::情色漫畫老師: 和泉紗霧","情色漫畫老師: 和泉紗霧","情色漫畫老師: 和泉紗霧","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::物語系列: 忍野忍","物語系列: 忍野忍","物語系列: 忍野忍","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","9","0.0015","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 古明地戀","東方: 古明地戀","東方: 古明地戀","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 幽幽子","東方: 幽幽子","東方: 幽幽子","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::海賊王: 娜美","海賊王: 娜美","海賊王: 娜美","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 加賀","艦隊Collection: 加賀","艦娘: 加賀","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::科學超電磁砲","科學超電磁砲","科學超電磁砲","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法少女奈葉: 菲特","魔法少女奈葉: 菲特","魔法少女奈葉: 菲特","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法禁書目錄: 茵蒂克絲","魔法禁書目錄: 茵蒂克絲","魔禁: 茵蒂克絲","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::偶像大師灰姑娘: 城崎美嘉","偶像大師灰姑娘: 城崎美嘉","偶像大師灰姑娘: 城崎美嘉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神: 納西妲","原神: 納西妲","原神: 納西妲","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神: 妮露","原神: 妮露","原神: 妮露","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::新世紀福音戰士: 明日香","新世紀福音戰士: 明日香","eva: 明日香","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","8","0.0013333333333333","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::彩虹小馬","彩虹小馬","彩虹小马","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 河城荷取","東方: 河城荷取","東方: 河城荷取","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 射命丸文","東方: 射命丸文","東方: 射命丸文","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 妖夢","東方: 妖夢","東方: 妖夢","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 天津風","艦隊Collection: 天津風","艦娘: 天津風","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::請問您今天要來點兔子嗎？","請問您今天要來點兔子嗎？","請問您今天要來點兔子嗎?","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::新世紀福音戰士","新世紀福音戰士","新世紀福音戰士","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::勇者鬥惡龍","勇者鬥惡龍","勇者鬥惡龍","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神:迪盧克","原神:迪盧克","原神:迪盧克","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神:菲謝爾","原神:菲謝爾","原神:菲謝爾","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::FATE: 伊莉雅","FATE: 伊莉雅","fate: 伊莉雅","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::LOVELIVE: 妮可","LOVELIVE: 妮可","lovelive: 妮可","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::To LOVEる","To LOVEる","to love","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","7","0.0011666666666666","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::超級瑪利歐","超級瑪利歐","超級瑪利歐","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 古明地覺","東方: 古明地覺","東方: 古明地覺","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::東方: 蓬萊山輝夜","東方: 蓬萊山輝夜","東方:蓬莱山輝夜","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 深海","艦隊Collection: 深海","艦娘: 深海","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 曉","艦隊Collection: 曉","艦娘: 曉","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::艦隊Collection: 榛名","艦隊Collection: 榛名","艦娘: 榛名","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::魔法禁書目錄: 上条當麻","魔法禁書目錄: 上条當麻","魔禁: 上条當麻","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::七龍珠","七龍珠","七龍珠","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_ip::我的妹妹哪有這麼可愛","我的妹妹哪有這麼可愛","我的妹妹哪有這麼可愛","FANDOM_IP","","CORE","HIGH_PRECISION_ANCHOR","True","OK","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::銀魂: 新八","銀魂: 新八","銀魂: 新八","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::原神:凱亞","原神:凱亞","原神:凱亞","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::新世紀福音戰士: 碇真嗣","新世紀福音戰士: 碇真嗣","eva: 碇真嗣","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
"fandom_character::JOJO的奇妙冒險: 花京院典明","JOJO的奇妙冒險: 花京院典明","jojo: 花京院典明","FANDOM_CHARACTER","","CORE","PROFILE_ONLY","False","AGE_AMBIGUOUS_REVIEW","6","0.001","V3_HIGH_IMPACT_ADJUDICATION"
