"normalized_tag","canonical_tag","facet","recommendation_role","retrieval_utility","recommendation_eligible","safety_status","provider_comic_count","provider_prevalence","source"
"小學女生(js)","","","","","","","34","0.0056666666666666","V3_ADJUDICATION"
"c87","","","","","","","25","0.0041666666666666","V3_ADJUDICATION"
"雌墜","","","","","","","21","0.0035","V3_ADJUDICATION"
"c85","","","","","","","18","0.003","V3_ADJUDICATION"
"產卵","","","","","","","15","0.0025","V3_ADJUDICATION"
"格鬥家","","","","","","","15","0.0025","V3_ADJUDICATION"
"尿道","","","","","","","15","0.0025","V3_ADJUDICATION"
"妖精","","","","","","","15","0.0025","V3_ADJUDICATION"
"男高中生(dk)","","","","","","","14","0.0023333333333333","V3_ADJUDICATION"
"兄弟","","","","","","","14","0.0023333333333333","V3_ADJUDICATION"
"c83","","","","","","","14","0.0023333333333333","V3_ADJUDICATION"
"c79","","","","","","","12","0.002","V3_ADJUDICATION"
"c80","","","","","","","12","0.002","V3_ADJUDICATION"
"c77","","","","","","","10","0.0016666666666666","V3_ADJUDICATION"
"c78","","","","","","","10","0.0016666666666666","V3_ADJUDICATION"
"射精管理","","","","","","","8","0.0013333333333333","V3_ADJUDICATION"
"丸吞","","","","","","","8","0.0013333333333333","V3_ADJUDICATION"
"繃帶","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"殭屍/喪屍","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"擴張","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"身體交換","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"c74","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"c76","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"cuntboy","","","","","","","7","0.0011666666666666","V3_ADJUDICATION"
"乳頭刺激","","","","","","","6","0.001","V3_ADJUDICATION"
"黑幫 / 黑道","","","","","","","5","0.0008333333333333","V3_ADJUDICATION"
"近親相交: 兄","","","","","","","5","0.0008333333333333","V3_ADJUDICATION"
"abo","","","","","","","5","0.0008333333333333","V3_ADJUDICATION"
"乳房","乳房","BODY_ATTRIBUTE","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_ADJUDICATION"
"中古鎧甲","中古鎧甲","APPEARANCE_OUTFIT","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_ADJUDICATION"
"舔菊","舔菊","SEXUAL_BEHAVIOR","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_ADJUDICATION"
"蛇女/拉米亞","拉米亞","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_ADJUDICATION"
"皮物","皮物","FETISH_TROPE","SECONDARY","CONJUNCTION_ANCHOR","True","OK","4","0.0006666666666666666","V3_ADJUDICATION"
"c70","C70","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_ADJUDICATION"
"偵探/犯罪","偵探/犯罪","GENRE_THEME","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_ADJUDICATION"
"異種奸","異種奸","FETISH_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_ADJUDICATION"
"轉生","轉生","STORY_TROPE","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_ADJUDICATION"
"禮服","禮服","APPEARANCE_OUTFIT","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_ADJUDICATION"
"懸疑","懸疑","GENRE_THEME","CORE","BROAD_RECALL","True","OK","3","0.0005","V3_ADJUDICATION"
"狼人","狼人","SPECIES_FANTASY","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_ADJUDICATION"
"陰蒂巨大化","陰蒂巨大化","BODY_ATTRIBUTE","SECONDARY","CONJUNCTION_ANCHOR","True","OK","4","0.0006666666666666666","V3_ADJUDICATION"
"comic1☆17","COMIC1☆17","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_ADJUDICATION"
"公園","公園","SETTING_LOCATION","MODIFIER","MODIFIER_ONLY","True","OK","3","0.0005","V3_ADJUDICATION"
"comic1☆6","COMIC1☆6","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_ADJUDICATION"
"逆後宮","逆後宮","STORY_TROPE","CORE","HIGH_PRECISION_ANCHOR","True","OK","3","0.0005","V3_ADJUDICATION"
"c75","C75","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","4","0.0006666666666666666","V3_ADJUDICATION"
"comic1☆16","COMIC1☆16","PUBLICATION_EVENT","IGNORE","EXCLUDE","False","OK","3","0.0005","V3_ADJUDICATION"
