"raw_tag","normalized_tag","provider_comic_count","context","review_notes"
"原神: 夜蘭","原神: 夜蘭","2","OPEN_WORLD",""
" 原神: 菈烏瑪","原神: 菈烏瑪","1","OPEN_WORLD",""
"DoA: 霞","doa: 霞","2","OPEN_WORLD",""
"士兵 / 戰士 / 傭兵","士兵 / 戰士 / 傭兵","2","OPEN_WORLD",""
"TO LOVE: 小闇","to love: 小闇","2","OPEN_WORLD",""
"寄生","寄生","2","OPEN_WORLD",""
"寄生蟲","寄生蟲","2","OPEN_WORLD",""
"歌之☆王子殿下♪","歌之☆王子殿下♪","1","OPEN_WORLD",""
"死神","死神","2","OPEN_WORLD",""
"原神: 瓦雷莎","原神: 瓦雷莎","1","OPEN_WORLD",""
"無職轉生","無職轉生","2","OPEN_WORLD",""
" 拍打","拍打","1","OPEN_WORLD",""
"主播","主播","2","OPEN_WORLD",""
"眼交","眼交","1","OPEN_WORLD",""
"眼球拷問","眼球拷問","1","OPEN_WORLD",""
"碧藍航線: 高雄","碧藍航線: 高雄","2","OPEN_WORLD",""
"C62","c62","1","OPEN_WORLD",""
"原神: 流浪者","原神: 流浪者","2","OPEN_WORLD",""
"東方: 森近霖之助","東方: 森近霖之助","2","OPEN_WORLD",""
"屍姦","屍姦","1","OPEN_WORLD",""
"格鬥","格鬥","2","OPEN_WORLD",""
"仿生人","仿生人","2","OPEN_WORLD",""
" 變身","變身","1","OPEN_WORLD",""
"純獵奇","純獵奇","2","OPEN_WORLD",""
" 原神: 菲林斯","原神: 菲林斯","1","OPEN_WORLD",""
"鬼滅之刃:煉獄杏壽郎","鬼滅之刃:煉獄杏壽郎","1","OPEN_WORLD",""
"鬼滅之刃:竈門炭治郎","鬼滅之刃:竈門炭治郎","1","OPEN_WORLD",""
"♥️拷問♥️","♥️拷問♥️","1","OPEN_WORLD",""
"刑具拷問","刑具拷問","2","OPEN_WORLD",""
"子宮拷問","子宮拷問","1","OPEN_WORLD",""
"腳趾拷問","腳趾拷問","1","OPEN_WORLD",""
"腳鎖","腳鎖","1","OPEN_WORLD",""
"東方: 克勞恩皮絲","東方: 克勞恩皮絲","2","OPEN_WORLD",""
"東方: 純狐","東方: 純狐","1","OPEN_WORLD",""
"原神: 那維萊特","原神: 那維萊特","1","OPEN_WORLD",""
"原神: 萊歐斯利","原神: 萊歐斯利","1","OPEN_WORLD",""
"侄女","侄女","1","OPEN_WORLD",""
"五等分的花嫁：一花","五等分的花嫁:一花","1","OPEN_WORLD",""
"勵志","勵志","2","OPEN_WORLD",""
"C66","c66","1","OPEN_WORLD",""
"妖怪","妖怪","1","OPEN_WORLD",""
"雙潔","雙潔","2","OPEN_WORLD",""
